"","N","Model","waic","p_waic"
"1",1,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus4_fit_all.rds",1986.25862525557,34.4497695276289
"2",2,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus3_fit_all.rds",1958.35818537865,32.4613274876481
"3",3,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus2_fit_all.rds",1928.81713443205,30.2028147057751
"4",4,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_minus1_fit_all.rds",1901.99296883864,28.8704084730304
"5",5,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus0_fit_all.rds",1890.11636529419,28.8106468517606
"6",6,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus1_fit_all.rds",1909.0529221447,31.8139123105023
"7",7,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus2_fit_all.rds",1927.05428358089,32.7882540194247
"8",8,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus3_fit_all.rds",1971.43294492106,40.0605400227359
"9",9,"Output_per_provice_NVT_PCV7_PCV13_swicth2009_plus4_fit_all.rds",2038.95270163423,40.6528415375779
"10",10,"Output_per_provice_NVT_PCV7_PCV13_noswitch_fit_all.rds",2047.44462590513,37.0879631425299
"11",11,"Output_per_provice_NVT_PCV7_PCV13_swicthes2009and2011_fit_all.rds",1905.62237796498,30.9906717208619
